no,question,answer_choices,answer,response,result
問39,犬で高カルシウム血症の原因となる疾患はどれか。,"a  甲状腺機能低下症
b  ビタミン A 中毒
c  上皮小体機能亢進症
d  副腎皮質機能低下症
e  慢性肝炎
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
13",4,"高カルシウム血症は血液中のカルシウム濃度が異常に高い状態を指します。犬において、この状態を引き起こす可能性のある疾患を選択肢から考えてみましょう。

a. 甲状腺機能低下症 - これは通常、代謝の低下を引き起こし、カルシウム代謝に直接関与することは少ないため、高カルシウム血症の原因とはなりにくいです。

b. ビタミンA中毒 - ビタミンAの過剰摂取は骨の吸収を促進し、結果として血中カルシウム濃度が上昇する可能性があります。したがって、これは高カルシウム血症の原因となり得ます。

c. 上皮小体機能亢進症 - 上皮小体はカルシウムの代謝を調節するため、その機能亢進は血中カルシウム濃度を上昇させる可能性があります。これも高カルシウム血症の原因となり得ます。

d. 副腎皮質機能低下症 - これはアジソン病とも呼ばれ、電解質バランスに影響を与えるが、直接的に高カルシウム血症を引き起こすことは一般的ではありません。

e. 慢性肝炎 - 肝臓は多くの代謝プロセスに関与していますが、慢性肝炎が直接的に高カルシウム血症を引き起こすことは一般的ではありません。

選択肢から、高カルシウム血症の原因となり得る疾患はビタミンA中毒（b）と上皮小体機能亢進症（c）です。したがって、正しい答えは選択肢3の「b, c」です。",False
問40,免疫介在性溶血性貧血を示唆する検査所見はどれか。,"a  ハインツ小体
b  有棘赤血球
c  標的赤血球
d  球状赤血球
e  赤血球凝集
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,"免疫介在性溶血性貧血（immune-mediated hemolytic anemia, IMHA）は、体の免疫系が誤って自身の赤血球を攻撃し、破壊する状態です。この状態を示唆する検査所見には、特定の赤血球の形態変化や他の指標が含まれます。

a. ハインツ小体 - これは酸化ストレスによって変性したヘモグロビンの沈着物であり、特にG6PD欠乏症などの酸化的溶血性貧血に見られます。

b. 有棘赤血球（エキノサイト） - これは赤血球の表面に小さな突起がある状態で、肝疾患、脾機能亢進症、または免疫介在性溶血性貧血などの状態で見られることがあります。

c. 標的赤血球 - これは赤血球が標的のような外観を呈するもので、肝疾患やタラセミアなどのヘモグロビン病で見られます。

d. 球状赤血球 - これは遺伝的な球状赤血球症や免疫介在性溶血性貧血に見られる赤血球の形態です。

e. 赤血球凝集 - これは赤血球が集まって凝集する現象で、冷凝集症や暖房凝集症などの免疫介在性溶血性貧血で見られます。

免疫介在性溶血性貧血を示唆する検査所見は、赤血球の凝集（e）と球状赤血球（d）です。これらは免疫系が赤血球を攻撃し、それによって赤血球が変形したり、凝集したりすることを反映しています。

したがって、答えは５．d, eです。",False
問53,牛の多発性肝膿瘍の原因となる疾患・病態はどれか。,"a  第一胃鼓脹症
b  亜急性第一胃アシドーシス
c  臍帯炎
d  第三胃食滞
e  第四胃捻転
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,"牛の多発性肝膿瘍は、主に消化器系の問題に関連しています。以下は選択肢の疾患・病態についての簡単な説明です：

a. 第一胃鼓脹症 - これは牛の第一胃（ルーメン）がガスで過度に膨張する状態です。これは消化不良や食事の変更によって引き起こされることがあります。

b. 亜急性第一胃アシドーシス - これは、高い炭水化物の摂取によって第一胃のpHが低下し、アシドーシスが発生する状態です。これは肝膿瘍のリスクを高めることが知られています。

c. 臍帯炎 - これは新生牛の臍帯の感染症です。これは肝膿瘍と直接関連しているわけではありません。

d. 第三胃食滞 - これは第三胃（オマサム）の動きが遅くなり、食物が停滞する状態です。これは消化不良につながる可能性がありますが、直接的に肝膿瘍を引き起こすとは限りません。

e. 第四胃捻転 - これは第四胃（アブオマサム）が捻じれることによる状態で、重大な健康問題を引き起こしますが、直接的に肝膿瘍と関連しているわけではありません。

選択肢の中で、亜急性第一胃アシドーシス（b）は肝膿瘍と関連があると知られています。第一胃鼓脹症（a）も消化器系の問題であり、消化不良やその他の合併症を引き起こす可能性があり、結果として肝膿瘍につながる可能性があります。

したがって、牛の多発性肝膿瘍の原因となる疾患・病態は「a. 第一胃鼓脹症」と「b. 亜急性第一胃アシドーシス」です。

答えは１．a, bです。",False
問55,馬の疝痛の原因となりうる寄生虫はどれか。,"a  単包条虫
b  指状糸状虫
c  普通円虫
d  馬回虫
e  馬肺虫
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,"馬の疝痛（コリック）は、消化管に関連する痛みを指し、様々な原因があります。寄生虫が原因の一つとなることがあります。選択肢から、馬の疝痛の原因となりうる寄生虫を特定します。

a 単包条虫（Tapeworms） - 馬の疝痛の原因となることがあります。
b 指状糸状虫（Threadworms） - 通常は若い馬に影響を与え、疝痛の原因となることがあります。
c 普通円虫（Ascarids） - 特に若い馬において疝痛の原因となることがあります。
d 馬回虫（Strongyles） - 大回虫と小回虫があり、特に小回虫は馬の疝痛の主要な原因の一つです。
e 馬肺虫（Lungworms） - 通常は馬の呼吸器系に影響を与えますが、直接的に疝痛の原因とはなりにくいです。

選択肢を見ると、単包条虫（a）と馬回虫（d）が馬の疝痛の原因となりうる寄生虫です。したがって、正しい答えは選択肢の中でこれら二つの寄生虫を含むものを選ぶ必要があります。

選択肢を見ると、単包条虫（a）と馬回虫（d）が含まれている選択肢はありません。しかし、馬回虫（d）は馬の疝痛の主要な原因であり、選択肢の中で最も関連性が高い寄生虫です。そのため、馬回虫（d）を含む選択肢を選ぶべきです。

その結果、選択肢４（c, d）が最も適切な答えとなります。しかし、これは選択肢の中で最も適切なものを選んだ結果であり、実際には単包条虫（a）も疝痛の原因となり得るため、完全な答えとは言えません。

したがって、最も適切な答えは４です。",False
問56,子牛の中耳炎に関する記述として適当なのはどれか。,"ａ　肺炎を併発することが多い。
ｂ　血液検査では好中球が増加する。
ｃ　主な原因菌は Trueperella pyogenes である。
ｄ　初期徴候として旋回運動と眼球振盪が特徴である。
ｅ　ワクチンにより予防できる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,"Let's evaluate each statement:

ａ　肺炎を併発することが多い。 - Middle ear infections in calves can sometimes be associated with other infections, including pneumonia, but it is not necessarily common or a defining characteristic of middle ear infections.

ｂ　血液検査では好中球が増加する。 - An increase in neutrophils in a blood test can indicate infection or inflammation, which could be consistent with middle ear infection.

ｃ　主な原因菌は Trueperella pyogenes である。 - Trueperella pyogenes is a common bacterial pathogen in livestock and can cause various infections, including middle ear infections.

ｄ　初期徴候として旋回運動と眼球振盪が特徴である。 - Early signs of middle ear infection in calves can include circling movements and nystagmus (eye flickering), as these symptoms can be associated with the disruption of balance and coordination due to the infection's effect on the ear.

ｅ　ワクチンにより予防できる。 - There is no widely used vaccine specifically for preventing middle ear infections caused by Trueperella pyogenes in calves.

Based on the above evaluations, the statements that are most appropriate regarding calf middle ear infections are:

ｂ　血液検査では好中球が増加する。 - This is a general response to infection.
ｃ　主な原因菌は Trueperella pyogenes である。 - This is a known pathogen that can cause middle ear infections in calves.
ｄ　初期徴候として旋回運動と眼球振盪が特徴である。 - These are characteristic signs of middle ear infections affecting balance.

Therefore, the answer is ４．c, d.",False
問57,腹部 X 線検査でコントラストが低下する原因はどれか。,"a  幼若
b  腹膜炎
c  肥満
d  脱水
e  腹腔内の遊離ガス
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
19",1,"腹部X線検査においてコントラストが低下する原因を考える際、以下の選択肢を検討します：

a 幼若 - 若い患者では、脂肪と筋肉の比率が異なる可能性がありますが、これが直接コントラスト低下の原因にはなりません。

b 腹膜炎 - 腹膜炎は腹部の炎症を引き起こし、これによって腹部の画像が不鮮明になる可能性がありますが、コントラスト自体が低下するわけではありません。

c 肥満 - 肥満の患者では、過剰な脂肪組織がX線の浸透を妨げ、画像のコントラストが低下する可能性があります。

d 脱水 - 脱水状態では、体内の水分が減少し、組織間のコントラストが低下する可能性があります。

e 腹腔内の遊離ガス - 腹腔内にガスが存在すると、X線の透過性が高まり、周囲の組織とのコントラストが低下する可能性があります。

選択肢を見ると、肥満（c）と脱水（d）がコントラスト低下の原因として最も妥当です。したがって、正しい答えは選択肢4です。",False
問68,犬の肺葉捻転に関する記述として誤っているのはどれか。,"１．開胸下で捻転肺葉を整復することで治療する。
２．開胸手術後に発生することがある。
３．右肺後葉での発生はまれである。
４．胸水貯留を伴うことが多い。
５．パグに好発する。",1,"肺葉捻転（lung lobe torsion）は、犬の肺の一部がその軸を中心にねじれる状態を指します。これにより、血流が遮断され、組織の壊死やその他の合併症を引き起こす可能性があります。以下は、各選択肢に関する考察です。

１．開胸下で捻転肺葉を整復することで治療する。
これは正しい。肺葉捻転の治療法として、開胸手術を行い捻転した肺葉を元に戻す（整復する）ことがあります。

２．開胸手術後に発生することがある。
これも正しい。肺葉捻転は開胸手術後に発生する合併症の一つとして知られています。

３．右肺後葉での発生はまれである。
これは誤りです。肺葉捻転は、特に大型犬で、右肺後葉で発生することが比較的多いとされています。

４．胸水貯留を伴うことが多い。
これは正しい。肺葉捻転は胸水貯留を伴うことがあります。

５．パグに好発する。
これも正しい。パグを含む短頭種犬は、肺葉捻転を発症しやすいとされています。

したがって、誤っている記述は３．右肺後葉での発生はまれであるです。",False
問75,実験動物の形態学的特徴に関する記述として正しいのはどれか。,"a  マウスは双角子宮を持つ。
b  モルモットは胆囊を欠く。
c  シリアンハムスターの乳頭は 1 対である。
d  マウスは凝固腺を持つ。
e  ラットの胃には無腺部（前胃）がある。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
25",5,"Let's evaluate each statement:

a. マウスは双角子宮を持つ。 (Mice have a bicornuate uterus.)
- This statement is correct. Mice, like many other rodents, have a bicornuate uterus, which means it has two distinct uterine horns.

b. モルモットは胆囊を欠く。 (Guinea pigs lack a gallbladder.)
- This statement is also correct. Guinea pigs are one of the few mammals that do not have a gallbladder.

c. シリアンハムスターの乳頭は 1 対である。 (Syrian hamsters have one pair of nipples.)
- This statement is incorrect. Syrian hamsters typically have more than one pair of nipples.

d. マウスは凝固腺を持つ。 (Mice have a coagulating gland.)
- This statement is correct. The coagulating gland, also known as the anterior prostate, is present in male mice and is part of their reproductive system.

e. ラットの胃には無腺部（前胃）がある。 (Rats have a non-glandular part (forestomach) in their stomach.)
- This statement is correct. Rats have a stomach that is divided into a glandular part and a non-glandular part, the latter being the forestomach.

Based on the evaluation, the correct statements are a, b, d, and e. However, the options provided do not include a combination that contains all four of these correct statements. Since we have to choose from the given options, we should select the one that contains the most correct statements.

Option 1 includes a and b, which are both correct.
Option 2 includes a and e, which are both correct.
Option 3 includes b and c, but c is incorrect.
Option 4 includes c and d, but c is incorrect.
Option 5 includes d and e, which are both correct.

Therefore, the answer is 2. a, e, as it contains the most correct statements from the given options.",False
問77,魚類のウイルス性疾患と特徴的な組織学的病変の組合せとして適当なのはどれか。,"疾患　　　　　　　　　　　 　組織学的病変
１．ギンザケの赤血球封入体症候群 ――― 鰓弁の癒合・棍棒化
２．ヒラメのリンホシスチス病 ――――― 口部周辺に基底細胞腫が出現
３．ニジマスの伝染性造血器壊死症 ――― 膵臓組織の壊死
４．マダイのイリドウイルス病 ――――― 異形肥大細胞の出現
５．ブリのウイルス性腹水症 ―――――― 神経細胞の空胞変性",4,"まず、各疾患とそれに関連する組織学的病変を検討します。

1. ギンザケの赤血球封入体症候群は、赤血球に封入体が見られる病気です。鰓弁の癒合・棍棒化はこの病気の特徴ではありません。

2. ヒラメのリンホシスチス病は、皮膚や鰓に白い斑点が現れる病気です。基底細胞腫の出現はこの病気の特徴ではありません。

3. ニジマスの伝染性造血器壊死症（IHN: Infectious Hematopoietic Necrosis）は、造血器官の壊死を引き起こす病気です。膵臓組織の壊死はこの病気の特徴的な病変です。

4. マダイのイリドウイルス病は、異形肥大細胞の出現を特徴とする病気です。

5. ブリのウイルス性腹水症は、腹水の蓄積を特徴とする病気です。神経細胞の空胞変性はこの病気の特徴ではありません。

したがって、適切な組み合わせは、ニジマスの伝染性造血器壊死症と膵臓組織の壊死です。

答えは3です。",False
問78,魚類の類結節症に関する記述として適切なのはどれか。,"a  原因菌はグラム陽性である。
b  水温 30 ℃以上の高水温期に多発する。
c  治療にはプラジクアンテルが認可されている。
d  腎臓や脾臓に多数の小白点が形成される。
e  水産用ワクチンが市販されている。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
26",5,"類結節症（Nodavirus infection）は、魚類に感染するウイルス性の疾患であり、特に稚魚に影響を与えることが知られています。以下は選択肢に関する情報です：

a. 原因菌はグラム陽性である。 - 類結節症はウイルスによって引き起こされるため、この記述は不適切です。

b. 水温 30 ℃以上の高水温期に多発する。 - 類結節症は水温とは無関係に発生することがあります。この病気は温度依存性ではないため、この記述も不適切です。

c. 治療にはプラジクアンテルが認可されている。 - プラジクアンテルは寄生虫感染症の治療に使用される薬剤であり、ウイルス性の類結節症には使用されません。この記述も不適切です。

d. 腎臓や脾臓に多数の小白点が形成される。 - 類結節症は魚の中枢神経系に影響を与えることが知られており、腎臓や脾臓に小白点が形成される症状はこの病気の特徴ではありません。この記述も不適切です。

e. 水産用ワクチンが市販されている。 - 現在、類結節症に対する特定のワクチンは市販されていないため、この記述も不適切です。

したがって、適切な記述はなく、選択肢の中に正しい組み合わせは存在しません。しかし、問題文には選択肢の中から選ぶように指示されているため、情報が不足しているか、誤りがある可能性があります。このため、正確な答えを提供することはできません。",False
