no,question,answer_choices,answer,response,result
問66,漏斗胸に関する記述として正しいのはどれか。,"１．外副子を用いた手術で整復する。
２．主な原因は外傷である。
３．多くが重度の呼吸困難を示す。
４．横隔膜ヘルニアの併発が一般的である。
５．猫では発生しない。
22",1,1.0,True
問67,犬の腸管吻合術の合併症として適当でないのはどれか。,"１．腸管狭窄
２．裂開
３．腹膜炎
４．腸重積
５．膵外分泌不全",5,5.0,True
問68,犬の肺葉捻転に関する記述として誤っているのはどれか。,"１．開胸下で捻転肺葉を整復することで治療する。
２．開胸手術後に発生することがある。
３．右肺後葉での発生はまれである。
４．胸水貯留を伴うことが多い。
５．パグに好発する。",1,3.0,False
問69,牛の I 型ケトーシスに関する記述として適当なのはどれか。,"a  分娩 3～6 週間後の泌乳最盛期に発症する。
b  罹患牛は過肥で脂肪肝を併発する。
c  アシドーシスのため呼吸数が増加する。
d  強いインスリン抵抗性を示す。
e  プロピレングリコールの経口投与で治癒することが多い。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
23",2,2.0,True
問70,牛の尿膜管開存に関する記述として適当なのはどれか。,"a  雌に多発する。
b  肝円索が遺残する。
c  臍から尿が滴下する。
d  超音波検査が診断に有用である。
e  治療法はない。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4.0,True
問71,牛の黄体囊腫に関する記述として適切なのはどれか。,"１．飼料中のエネルギー不足が原因である。
２．持続性発情がみられる。
３．直腸検査で波動感がある大型構造物を触診できる。
４．血中プロジェステロン濃度は 1 ng/ml 未満である。
５．治療には性腺刺激ホルモン放出ホルモン（GnRH）製剤が有効である。","3,5",,True
問72,牛のフリーマーチンの特徴はどれか。,"a  子宮の発達が悪い。
b  卵精巣がみられる。
c  膣長が長い。
d  性染色体は XX である。
e  陰毛が短い。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
24",1,1.0,True
問73,牛の子宮脱の治療に関する記述として正しいのはどれか。,"ａ　怒責が強い場合は全身麻酔を施す。
ｂ　脱出子宮の表面は十分に洗浄してから整復する。
ｃ　治療の際には牛を前低後高にする。
ｄ　治療前にオキシトシンを投与して子宮の収縮を促す。
ｅ　整復後の再発予防にマグネシウムの投与が有効である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3.0,True
問74,牛の潜在精巣に関する記述として最も適切なのはどれか。,"１．通常は正常精巣よりも大きい。
２．両側性に発生することが多い。
３．精細胞は変性し、精子形成が抑制される。
４．テストステロンの産生と分泌が抑制される。
５．顕性遺伝する。",3,3.0,True
問75,実験動物の形態学的特徴に関する記述として正しいのはどれか。,"a  マウスは双角子宮を持つ。
b  モルモットは胆囊を欠く。
c  シリアンハムスターの乳頭は 1 対である。
d  マウスは凝固腺を持つ。
e  ラットの胃には無腺部（前胃）がある。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
25",5,2.0,False
問76,マウスやラットの 3 種混合の全身麻酔注射薬としてミダゾラムと組み合わせるのはどれか。,"a  ケタミン
b  メロキシカム
c  キシラジン
d  メデトミジン
e  ブトルファノール
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,5.0,True
問77,魚類のウイルス性疾患と特徴的な組織学的病変の組合せとして適当なのはどれか。,"疾患　　　　　　　　　　　 　組織学的病変
１．ギンザケの赤血球封入体症候群 ――― 鰓弁の癒合・棍棒化
２．ヒラメのリンホシスチス病 ――――― 口部周辺に基底細胞腫が出現
３．ニジマスの伝染性造血器壊死症 ――― 膵臓組織の壊死
４．マダイのイリドウイルス病 ――――― 異形肥大細胞の出現
５．ブリのウイルス性腹水症 ―――――― 神経細胞の空胞変性",4,3.0,False
問78,魚類の類結節症に関する記述として適切なのはどれか。,"a  原因菌はグラム陽性である。
b  水温 30 ℃以上の高水温期に多発する。
c  治療にはプラジクアンテルが認可されている。
d  腎臓や脾臓に多数の小白点が形成される。
e  水産用ワクチンが市販されている。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
26",5,4.0,False
問79,ブリ類の鰓に感染する病原体はどれか。,"１．Ichthyophonus hoferi
２．Microsporidium seriolae
３．Myxobolus acanthogobii
４．Benedenia seriolae
５．Heteraxine heterocerca","1,5",4.0,True
問80,クルマエビ急性ウイルス血症に関する記述として正しいのはどれか。,"１．持続的養殖生産確保法の防疫対象疾病に入っている。
２．原因ウイルスの宿主特異性は高い。
３．原因はニマウイルス科に属するウイルスである。
４．認可されたワクチンが市販されている。
５．全身の体表に潰瘍性患部が形成される。
27",3,3.0,True
