no,question,answer_choices,answer,response,result
問29,「農用地の土壌の汚染防止等に関する法律（農用地汚染防止法）」において作物生育阻害の観点から特定有害物質に指定されているのはどれか。,"１．有機りん化合物
２．銅及びその化合物
３．テトラクロロエチレン
４．ポリ塩化ビフェニル（PCB）
５．カドミウム及びその化合物",2,5,False
問30,発しんチフスまたはその病原体に関する記述として適切なのはどれか。,"１．Salmonella enterica subsp. enterica serovar Typhi によって引き起こされる。
２．げっ歯類とベクターの間で感染環が形成されている。
３．ベクターの糞便中に排出される。
４．遊走性紅斑が特異的症状である。
５．我が国では 2000 年以降に輸入感染症の発生が確認されている。
10",3,2,False
問31,魚類がヒトへの感染源となる寄生虫症はどれか。,"a  顎口虫症
b  日本海裂頭条虫症
c  肝蛭症
d  日本住血吸虫症
e  糞線虫症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,3,False
問32,破傷風またはその病原体に関する記述として適切なのはどれか。,"１．筋肉の弛緩性麻痺が特徴的症状である。
２．ヒトからヒトへの感染がある。
３．衛生状態の悪い国では新生児の破傷風が問題となっている。
４．弱毒生ワクチンの使用によって予防する。
５．我が国では 2010 年以降患者の死亡例は報告されていない。",3,3,True
問33,動物における慎重使用の観点から第二次選択薬に位置付けられている抗菌薬の系統はどれか。,"１．カルバペネム系
２．テトラサイクリン系
３．クロラムフェニコール系
４．フルオロキノロン系
５．グリコペプチド系
11",4,4,True
問34,疾病のサーベイランスに関する記述として適切なのはどれか。,"１．疾病の情報収集のみが目的である。
２．モニタリングとともに実施される活動である。
３．受動的サーベイランスは発生動向の把握に適している。
４．能動的サーベイランスは受動的サーベイランスより費用がかからない。
５．疾病の撲滅を目指す場合は受動的サーベイランスが適している。",3,3,True
問35,記述疫学に関する記述として誤っているのはどれか。,"１．集団の中で疾病が多くみられる動物の属性を見つける。
２．集団の中で疾病が多発する地域を見つける。
３．集団における疾病発生頻度の時間的変化を観察する。
４．集団における疾病発生の観察により発生要因の仮説を設定する。
５．集団レベルで疾病と要因への曝露を観察してその関係性を評価する。",5,1,False
問36,宿主動物から吸血しない節足動物はどれか。,"１．ワクモ
２．マダニ
３．ハジラミ
４．ノミ
５．ヌカカ
12",3,1,False
問37,日本の養蜂において家畜種と呼ばれるのはどれか。,"１．ニホンミツバチ
２．トウヨウミツバチ
３．セイヨウミツバチ
４．オオミツバチ
５．コミツバチ",3,3,True
問38,「飼料の安全性の確保及び品質の改善に関する法律（飼料安全法）」で家畜飼料中の許容基準が定められているかび毒はどれか。,"a  アフラトキシン B1
b  デオキシニバレノール
c  ロリトレム B
d  オクラトキシン A
e  パツリン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,1,True
問39,データの誤差とその制御の方法に関する記述として適切なのはどれか。,"a  標本数を増やすことで系統誤差を小さくできる。
b  摘発バイアスは選択バイアスの一つである。
c  思い出しバイアスはコホート研究で生じやすい。
d  交絡の制御方法として多変量解析がある。
e  偶然誤差の程度は精度によって表す。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
13",5,5,True
問40,介入研究に関する記述として適当なのはどれか。,"a  対象個体を介入群または対照群へ任意に割り付ける。
b  横断研究は介入研究の一手法である。
c  コホート研究よりも因果関係の証明度合いは強い。
d  治療効果が高いと想定できる介入の場合も対象者からの同意が必要である。
e  時期によって介入群と対照群を入れ替える手法を盲検法（盲検化）という。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4,True
問41,猫の先端巨大症を診断するために最も適当な検査項目はどれか。,"１．甲状腺ホルモン
２．プロラクチン
３．インスリン様成長因子 1（IGF-1）
４．副腎皮質刺激ホルモン（ACTH）
５．インスリン",3,3,True
問42,犬のネフローゼ症候群でみられる異常として適当なのはどれか。,"a  高アンモニア血症
b  低血糖
c  低アルブミン血症
d  高コレステロール血症
e  高グロブリン血症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
14",4,4,True
問43,内分泌疾患と治療薬の組合せとして誤っているのはどれか。,"内分泌疾患　　　　　　　　　 　治療薬
１．糖尿病 ――――――――――― インスリン
２．甲状腺機能亢進症 ―――――― チアマゾール
３．上皮小体機能低下症 ――――― 活性型ビタミン D
４．副腎皮質機能亢進症 ――――― フルドロコルチゾン
５．原発性尿崩症 ―――――――― デスモプレッシン",4,4,True
問44,心原性肺水腫の原因となる疾患として誤っているのはどれか。,"１．肺動脈弁狭窄症
２．僧帽弁狭窄症
３．大動脈弁逆流症
４．僧帽弁閉鎖不全症
５．拡張型心筋症",1,1,True
問45,犬の尿石症に関する記述として適当でないのはどれか。,"１．ストルバイト結石は尿路感染症によって形成が促進される。
２．ストルバイト結石はアルカリ尿で形成されやすい。
３．シュウ酸カルシウム結石は食餌療法で溶解できる。
４．高カルシウム血症はシュウ酸カルシウム結石形成の素因となる。
５．ダルメシアンは尿酸塩結石の好発犬種である。
15",3,3,True
問46,犬の胃潰瘍の治療に用いる薬剤はどれか。,"a  プレドニゾロン
b  オメプラゾール
c  スクラルファート
d  スルファサラジン
e  ラクツロース
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3,True
問47,猫のリンパ球性胆管炎に関する記述として適当なのはどれか。,"a  門脈域にはリンパ球の浸潤は認められない。
b  急速に病態が進行する。
c  腹水が貯留することはまれである。
d  高グロブリン血症が認められることが多い。
e  治療にはウルソデオキシコール酸の投与が行われる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,5,True
問48,犬の咀嚼筋炎に関する記述として適当でないのはどれか。,"１．大型犬での発生が多い。
２．2M 型筋線維に対する自己抗体をもつ。
３．慢性期には側頭筋および咬筋が萎縮する。
４．閉口ができなくなる。
５．急性期には血清クレアチンキナーゼの増加が認められる。
16",4,4,True
問49,犬の肝性脳症に関する記述として適当でないのはどれか。,"１．門脈体循環シャントが原因の一つである。
２．流涎がみられることがある。
３．高アンモニア血症が一般的に認められる。
４．ラクツロースを経口投与または浣腸で用いる。
５．予防のために高タンパク食を給与する。",5,5,True
問50,犬の赤芽球癆に関する記述として最も適当なのはどれか。,"１．高齢で発症することが多い。
２．重篤な再生性貧血を特徴とする。
３．クームス試験は通常陽性を示す。
４．骨髄での骨髄芽球／赤芽球細胞比（M／E 比）は非常に高い。
５．治療としてビンクリスチンを投与する。",4,3,False
問51,猫の動脈血栓塞栓症に関する記述として適当でないのはどれか。,"１．糖尿病に続発することが多い。
２．急性の後肢麻痺を生じることが多い。
３．血液検査で CPK の上昇がみられる。
４．血栓の成長を防ぐためにヘパリンを投与する。
５．予防のためにクロピドグレルを投与する。
17",1,1,True
問52,犬の緑内障に関する記述として適当でないのはどれか。,"１．眼房水の排泄障害が発症要因となる。
２．アメリカン・コッカー・スパニエルは閉塞隅角緑内障の好発犬種である。
３．慢性期には眼球拡張（牛眼）がみられる。
４．眼底検査において視神経乳頭の膨隆が認められる。
５．眼房水の排泄を促進する目的でラタノプロストを点眼する。",4,4,True
問53,犬の第Ⅷ因子欠損症に関する記述として最も適当なのはどれか。,"１．主に雌で発症する。
２．血小板数が増加する。
３．プロトロンビン時間（PT）が延長する。
４．活性化部分トロンボプラスチン時間（APTT）が延長する。
５．血中フィブリノーゲン濃度が低下する。",4,4,True
問54,牛の亜急性第一胃アシドーシスに関する記述として適切なのはどれか。,"a  エネルギー不足が主な原因である。
b  第一胃液の pH が 5 以下になることが特徴である。
c  治療として乳酸リンゲルを輸液する。
d  乳量や乳脂率が低下することが多い。
e  第一胃パラケラトーシス（第一胃錯角化症）を継発することがある。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
18",5,5,True
問55,牛の腎盂腎炎に関する記述として適切なのはどれか。,"a  Corynebacterium 属菌が主な原因菌である。
b  原因菌は尿路から上行性に侵入する。
c  血色素尿の排泄がみられる。
d  再生不良性貧血が主徴である。
e  一般に予後不良であり治療は行われない。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,3,False
問56,出生後の幼若子豚が貧血を起こす原因として正しいのはどれか。,"１．初乳摂取不足による溶血
２．母乳摂取不足による脱水
３．脾臓における貯蔵亜鉛の不足
４．肝臓でのアルブミン合成不良
５．急激な体重増加に伴う循環血液量の不足",5,3,False
問57,牛の第四胃変位に関する記述として正しいのはどれか。,"１．泌乳末期の過肥牛に好発する。
２．第四胃液の逆流によって代謝性アシドーシスを呈する。
３．聴打診での拍水音の聴取によって診断する。
４．外科手術後の再発がしばしば問題となる。
５．水、電解質の異常は大量の輸液または高張食塩水の投与によって補正する。
19",5,4,False
問58,X 線検査で縦隔気腫がみられた際にまず疑うべき疾患・病態はどれか。,"１．肺血栓塞栓症
２．横隔膜ヘルニア
３．肺高血圧症
４．吸引性肺炎
５．食道穿孔",5,5,True
問59,超音波検査における腸のアコーディオンサインが特徴である疾患・病態として最も適当なのはどれか。,"１．紐状異物
２．腸重積
３．リンパ腫
４．腹膜炎
５．鼡径ヘルニア",1,2,False
問60,根尖周囲膿瘍に関する記述として最も適当なのはどれか。,"１．猫では上顎第 4 前臼歯に多い。
２．犬では上下顎の犬歯に多い。
３．抗菌薬で根治が望める。
４．歯瘻形成がみられる。
５．X 線検査で根尖周囲に骨形成が認められる。
20",4,4,True
問61,犬の肝細胞癌に関する記述として適当なのはどれか。,"a  多くがびまん性に発生する。
b  高血糖を伴う。
c  超音波検査では良悪の診断は困難である。
d  腫瘤型の肝細胞癌では外科的切除が奏功する。
e  化学療法によって延命が期待できる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,5,False
問62,犬の肘関節異形成の病態として誤っているのはどれか。,"１．内側鉤状突起離断
２．肘突起癒合不全（未癒合）
３．上腕骨内側上顆の離断性骨軟骨炎
４．肘関節の不整合
５．先天性肘関節脱臼",5,5,True
問63,去勢手術で予防できる犬の疾患として適当でないのはどれか。,"１．前立腺肥大
２．会陰ヘルニア
３．肛門周囲腺腫
４．尿道結石
５．精巣腫瘍
21",4,4,True
問64,ヘルニア囊がないのはどれか。,"a  陰囊ヘルニア
b  直接鼡径ヘルニア
c  先天性臍ヘルニア
d  会陰ヘルニア
e  恥骨前腹壁ヘルニア
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,3,False
問65,犬の右大動脈弓遺残症に対する手術の開胸部位として最も適切なのはどれか。,"１．左第 4 肋間
２．左第 6 肋間
３．右第 4 肋間
４．右第 6 肋間
５．胸骨正中切開",1,1,True
問66,犬の直腸脱に関する記述として適当なのはどれか。,"a  寄生虫感染が原因のひとつである。
b  ウェルシュ・コーギーが好発犬種である。
c  診断には X 線検査が有用である。
d  整腸剤により治癒することが多い。
e  再発例では脱出組織の切除を行う。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
22",2,2,True
問67,犬の上腕骨骨折に対する外側アプローチの際に注意すべき神経はどれか。,"１．正中神経
２．尺骨神経
３．橈骨神経
４．筋皮神経
５．腋窩神経",3,2,False
問68,犬の股関節形成不全に関する記述として適切でないのはどれか。,"１．遺伝的因子や環境的因子が関与する。
２．小型犬での発生はまれである。
３．PennHIP 撮影法にて 16 週齢以降で診断可能である。
４．大腿骨頭の虚血性壊死が生じる。
５．治療法の 1 つとして股関節全置換術がある。",4,4,True
問69,牛の尿石症に関する記述として正しいのはどれか。,"a  雌に多発する。
b  尿の酸性化が発症の原因になる。
c  結石の組成はリン酸マグネシウム塩が主体である。
d  尿路の閉塞性障害を生じることがある。
e  治療として塩化カルシウムを静脈内投与する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
23",4,5,False
問70,豚の滲出性表皮炎に関する記述として誤っているのはどれか。,"１．主に 1〜6 週齢で発生する。
２．脂性の滲出液が全身にこびりついて見える。
３．原因は主に Staphylococcus hyicus である。
４．発育遅延を生じる。
５．病変は皮膚だけでなく腹腔内臓器にも及ぶ。",5,5,True
問71,馬の卵巣の顆粒膜細胞腫に関する記述として適切なのはどれか。,"a  芦毛馬に多発する。
b  卵巣腫瘍の中で発生頻度は低い。
c  不妊となる。
d  攻撃性が高まる。
e  治療法はない。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,4,True
問72,豚の卵巣の多胞性大型囊腫に関する記述として適切なのはどれか。,"１．非妊娠豚の 20〜30％に発生する。
２．妊娠可能である。
３．思牡狂を呈する。
４．生前診断は困難である。
５．治療には GnRH 製剤が有効である。
24",5,3,False
問73,牛の黄体遺残に関する記述として誤っているのはどれか。,"１．子宮内の異物が発症の原因となることがある。
２．血漿プロジェステロン濃度は 1 ng/ml 以上で推移する。
３．不規則な発情周期の回帰がみられる。
４．超音波検査による 1 回の診療では確定診断はできない。
５．治療には PGF2α製剤の筋肉内投与が行われる。",3,4,False
問74,牛の尿膜水腫に関する記述として適切なのはどれか。,"a  胎盤機能の異常が原因となる。
b  妊娠後期に多発する。
c  罹患牛を後方から見ると、右膁部が膨満している。
d  直腸検査で胎子の生存が確認できる。
e  腹腔穿刺により治療する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,1,True
問75,動物実験の代替法として誤っているのはどれか。,"１．培養細胞を用いた実験への置換
２．無脊椎動物を用いた実験への置換
３．新生子を用いた実験の実施
４．コンピュータ・シミュレーションによる予測実験
５．模型を用いた実習
25",3,3,True
問76,常温および高温環境下でマウスに対する薬物の影響を観察した。常温に比べ高温環境下で強い毒性効果を示す薬物はどれか。,"a  コルチゾン
b  プロカイン
c  アドレナリン
d  アトロピン
e  カフェイン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4,3,False
問77,コイヘルペスウイルス病に関する記述として正しいのはどれか。,"１．眼球突出がみられる。
２．我が国では未発生である。
３．コイ以外の魚類にも感染し大量死を引き起こす。
４．「持続的養殖生産確保法」における特定疾病である。
５．大型の成魚のみで発病する。",4,4,True
問78,グラム陽性菌が原因となる魚類の疾患はどれか。,"１．レンサ球菌症
２．カラムナリス症
３．類結節症
４．レッドマウス病
５．エドワジエラ症
26",1,1,True
問79,微胞子虫による魚類の疾患はどれか。,"１．ビバギナ症
２．ヘテラキシネ症
３．アルグルス症
４．イクチオボド症
５．グルゲア症",5,4,False
問80,イリドウイルス科のウイルスが原因となる魚類の疾患はどれか。,"１．ウイルス性神経壊死症
２．リンホシスチス病
３．コイ春ウイルス血症
４．伝染性造血器壊死症
５．赤点病
27",2,4,False
