no,question,answer_choices,answer
問11,薬剤耐性の発現機序に関する記述として適当でないのはどれか。,"１．R プラスミドが菌種を越えた薬剤耐性遺伝子の拡散に関与している。
２．β - ラクタマーゼによりペニシリンが加水分解される。
３．流入した薬剤を菌体外へ排出することにより耐性化する。
４．外膜ポーリンの構造変化により薬剤透過性が低下して耐性化する。
５．抗菌薬による突然変異体の誘発により耐性菌が出現する。",5
問12,節足動物が関与しない感染症の病原体はどれか。,"１．Borrelia burgdorferi
２．Coxiella burnetii
３．Mycoplasma haemofelis
４．Campylobacter fetus
５．Francisella tularensis
4",4
問13,豚が増幅動物となるウイルス性疾患はどれか。,"１．ウエストナイル熱
２．アフリカ馬疫
３．東部馬脳炎
４．ゲタウイルス病
５．チュウザン病",4
問14,我が国で生ワクチンの投与によって予防されている疾患はどれか。,"１．口蹄疫
２．高病原性鳥インフルエンザ
３．牛疫
４．猫伝染性腹膜炎
５．ニューカッスル病",5
問15,ニューカッスル病ウイルスの病原性を調べるために用いられるのはどれか。,"１．赤血球凝集抑制試験
２．中和試験
３．初生雛の脳内接種試験
４．HN タンパク質開裂部位のアミノ酸配列の解析
５．発育鶏卵尿膜腔内接種試験
5",3
問16,"完全フロイントアジュバントはどれを混ぜ合わせたものか。a  鉱物油b  結核死菌c  水酸化アルミニウムd  流動パラフィンe  スクワラン１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",,1
問17,犬糸状虫（Diroﬁlaria immitis）に関する記述として誤っているのはどれか。,"１．奇異性塞栓症の原因となる。
２．ミクロフィラリアには末梢血への夜間定期出現性がある。
３．ミクロフィラリアの寿命は約 1 か月間である。
４．オカルト感染の検出には血中の糸状虫抗原検出法が有効である。
５．大静脈症候群を引き起こすことがある。",3
問18,獣肉の生食によりヒトに感染するのはどれか。,"１．槍型吸虫（Dicrocoelium chinensis）
２．ウェステルマン肺吸虫（Paragonimus westermani）
３．膵蛭（Eurytrema pancreaticum）
４．肝吸虫（Clonorchis sinensis）
５．横川吸虫（Metagonimus yokogawai）
6",2
問19,特定保健用食品に関する記述として適当なのはどれか。,"１．医薬部外品として取り扱われる。
２．機能性については表示できない。
３．栄養機能食品と保健機能食品に分類される。
４．表示には消費者庁長官の許可を必要とする。
５．「食品衛生法」に定められた安全性を遵守する必要はない。",4
問20,「食鳥処理の事業の規制及び食鳥検査に関する法律」に関する記述として適当なのはどれか。,"１．カモは対象動物である。
２．食鳥処理工程で実施される最初の食鳥検査は脱羽後検査である。
３．医師は食鳥検査員の任用資格を得ることができる。
４．年間 30 万羽以下の処理施設では食鳥処理衛生管理者が食鳥検査を行う。
５．「家畜伝染病予防法」で規定される家畜伝染病は検査対象から除かれる。",採点外
問21,トキソプラズマ症に関する記述として適当なのはどれか。,"１．ワクチン接種により予防する。
２．妊婦では抗体価が上昇しない。
３．サバの生食が問題となった。
４．ヒトの主な感染源は犬である。
５．胎児に水頭症がみられる。
7",5
問22,リステリア症に関する記述として適当なのはどれか。,"１．食品を 10℃以下で保存すれば予防可能である。
２．我が国で汚染牛乳による大規模集団発生があった。
３．妊婦では流産の原因となる。
４．原因菌の分離には CIN 培地を用いる。
５．発生に季節性がある。",3
問23,ウェルシュ菌食中毒に関する記述として適当なのはどれか。,"１．大量加熱調理後に長時間室温で放置された食品が原因となることが多い。
２．筋肉の弛緩性麻痺が特徴である。
３．食品中の菌数が 10 個 /g で発生する。
４．事件当たりの患者数が他の細菌性食中毒より少ない。
５．食品を真空包装することで予防可能である。",1
問24,げっ歯類を自然宿主とするのはどれか。,"a  ラッサウイルス
b  黄熱ウイルス
c  リフトバレー熱ウイルス
d  デングウイルス
e  ハンタウイルス
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
8",2
問25,ダニ媒介脳炎に関する記述として適切なのはどれか。,"a  我が国では患者の発生がない。
b  家畜は脳炎症状を呈する。
c  原因ウイルスがマダニの中で維持される。
d  感染牛や山羊の生乳を介してヒトに経口感染する。
e  ヒトが脳炎を発症してもほとんど後遺症が残らない。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問26,エルシニア症およびその原因菌に関する記述として適切なのはどれか。,"１．ヒトへの主な感染経路は牛肉を介した経口感染である。
２．ワイル・フェリックス反応で血清診断する。
３．我が国では原因菌を指標菌とした乳の殺菌条件が定められている。
４．4℃以下で発育可能である。
５．土壌環境で芽胞を形成する。",4
問27,破傷風に関する記述として適切なのはどれか。,"１．我が国では新生児破傷風が多い。
２．創傷感染が多い。
３．2010 年以降日本で患者は発生していない。
４．ヒトと動物に共通して弛緩性麻痺症状が認められる。
５．トキソイドによる発症の予防は期待できない。
9",2
問28,地球環境問題と関連する条約の組み合わせとして正しいのはどれか。,"地球環境問題　　　　　　　　条約
１．オゾン層の破壊 ―――― ラムサール条約
２．有害廃棄物の越境 ――― ウィーン条約
３．海洋汚染 ――――――― バーゼル条約
４．生物多様性の保全 ――― ワシントン条約
５．酸性雨 ―――――――― ストックホルム条約",4
問29,「水質汚濁防止法」の一律排水基準で「検出されないこと」と規定されているのはどれか。,"１．アルキル水銀化合物
２．カドミウムおよびその化合物
３．ポリ塩化ビフェニル
４．ベンゼン
５．トリクロロエチレン",1
問30,地球環境問題に関する記述として適当なのはどれか。,"a  CO2 の主要排出源は冷蔵庫や空調機の冷媒である。
b  オゾン層は主として紫外線 UV - A を吸収する。
c  湖沼より河川の方が酸性雨の影響を受けて酸性化しやすい。
d  家畜の過剰放牧は砂漠化の原因である。
e  火山活動により発生したガスは酸性雨の原因となる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
10",5
問31,有病率に関する記述として適切なのはどれか。,"１．横断研究で用いられることが多い。
２．分母に時間の要素が含まれる。
３．比較的短期間に転帰が決まる疾病に用いる。
４．一定期間内にどれだけの新しい罹患個体が発生したかを表す。
５．曝露と疾病発生との関連性の強さを表す。",1
問32,「環境基本法」において環境基準が定められていないのはどれか。,"１．悪臭
２．騒音
３．水質汚濁
４．大気汚染
５．土壌汚染",1
問33,牛乳の乳脂率検査に関する記述で適切なのはどれか。,"１．ソックスレー法が公定法となっている。
２．脂肪粒子の蛋白被膜溶解に強アンモニアを用いる。
３．分離した脂肪は遠心操作により集める。
４．乳脂計目盛から読み取られた数値を 100 倍して乳脂率を求める。
５．「乳及び乳製品の成分規格等に関する省令」で牛乳の乳脂率は 8.0％以上と定
められている。
11",3
問34,水道水の大腸菌検査に関する記述で適切なのはどれか。,"１．LB 培地を用いる。
２．β - グルクロニダーゼの活性を証明する。
３．44.5℃で培養する。
４．1 ml の検水を用いる。
５．発育した菌がグラム陰性無芽胞桿菌であることを確認する。",2
問35,結合残留塩素はどれか。,"１．クロロホルム
２．次亜塩素酸
３．トリクロロエチレン
４．トリハロメタン
５．モノクロラミン",5
問36,農場 HACCP システムに関する記述として誤っているのはどれか。,"１．農林水産省が認証する。
２．危害の防止措置を明確にしている。
３．重要管理点を設定している。
４．システムの有効性を検証する手順を含む。
５．コーデックス委員会が示した手順を基本とする。
12",1
問37,搾乳作業に関する記述として誤っているのはどれか。,"１．前搾り乳を牛床や尿溝に捨てない。
２．乳頭清拭には消毒薬として次亜塩素酸ナトリウムを用いる。
３．ディッパーの浸漬用消毒剤は毎回取り替える。
４．ティートカップの離脱は４本同時に行う。
５．ライナースリップはミルカー搾乳の前半に起きやすい。",5
問38,生ワクチンと不活化ワクチンの相違について適当な組み合わせはどれか。,"生ワクチン　 不活化ワクチン
a  病原性復帰の可能性 ――――――― なし ――――― あり
b  他の感染性微生物混入の可能性 ―― なし ――――― あり
c  投与回数 ―――――――――――― 多い ――――― 少ない
d  増殖性 ――――――――――――― あり ――――― なし
e  免疫の持続 ――――――――――― 長い ――――― 短い
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5
問39,フザリウム属真菌が産生するマイコトキシンのうち、エストロジェン様作用を有し、豚に感受性が高いのはどれか。,"１．アフラトキシン
２．デオキシニバレノール
３．ゼアラレノン
４．フモニシン
５．パツリン
13",3
問40,曝露群と非曝露群の疾患の頻度差から計算される疫学指標はどれか。,"１．寄与リスク
２．オッズ比
３．相対リスク
４．寄与リスク割合
５．発生率","1,4"
問41,猫の糖尿病に関する記述として適切でないのはどれか。,"１．ヒトの 2 型糖尿病に相当する例が多い。
２．末梢神経障害により踵を地面につけて歩行することがある。
３．診断時にはストレス性高血糖との鑑別に注意を要する。
４．重度の白内障を併発しやすい。
５．膵炎を原因とする糖尿病が知られている。",4
問42,腎性貧血に関する記述として適切なのはどれか。,"１．血清エリスロポエチン濃度が上昇する。
２．網状赤血球数が増加する。
３．赤血球の寿命が短縮する。
４．再生性貧血である。
５．赤血球に対する自己抗体が検出される。
14",3
問43,犬の皮膚糸状菌症に関する記述として適切でないのはどれか。,"１．人獣共通感染症である。
２．ウッド灯検査で Microsporum gypseum が感染した被毛の検出ができる。
３．皮膚にリングワーム病変を形成する。
４．毛刈りと洗浄を行うことで環境中への菌の飛散を減らすことができる。
５．内服用抗真菌薬としてイトラコナゾールが利用できる。",2
問44,欠乏により猫に汎脂肪織炎（黄色脂肪症）を引き起こすビタミンはどれか。,"１．ビタミン A
２．ビタミン B1
３．ビタミン B6
４．ビタミン D
５．ビタミン E",5
問45,猫の膿胸に関する記述として適切なのはどれか。,"１．老齢猫での発生が多い。
２．貯留液から分離される細菌の大部分が好気性菌である。
３．治療として通常胸腔チューブ設置が行われる。
４．発症要因が分からない場合には速やかに試験開胸術を行う。
５．積極的な治療を行っても一般に予後不良である。
15",3
問46,副腎皮質機能亢進症の治療薬のうち 3β - ヒドロキシステロイドデヒドロゲナーゼを阻害する薬剤はどれか。,"１．ケトコナゾール
２．トリロスタン
３． L - デプレニル
４．合成 ACTH
５． O, P’- DDD",2
問47,犬のアトピー性皮膚炎に関する記述として適切でないのはどれか。,"１．多くは 3 歳以下で発症する。
２．マラセチア性皮膚炎を併発することが多い。
３．通常コルチコステロイド投与により掻痒が軽減する。
４．病変は背部・腰部に限局する。
５．臨床徴候発現と季節に関連性が認められる。",4
問48,慢性腎臓病の犬にアンギオテンシン変換酵素阻害薬を投与する主な目的はどれか。,"a  タンパク尿の軽減
b  高血圧の是正
c  脱水の改善
d  高カリウム血症の治療
e  低リン血症の治療
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
16",1
問49,猫の甲状腺機能亢進症に関する記述として適切なのはどれか。,"１．若齢での発症が多い。
２．肥満になりやすい。
３．血清総コレステロール値の上昇が認められることが多い。
４．高血圧症を伴うことが多い。
５．甲状腺の外科的摘出は適応とならない。",4
問50,犬の前庭障害の徴候として発現頻度が高いのはどれか。,"a  捻転斜頚
b  眼球振盪
c  痙攣発作
d  多飲
e  失禁
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1
問51,犬の副腎皮質機能亢進症の徴候として発現頻度が高いのはどれか。,"a  非対称性の脱毛
b  表皮の肥厚
c  多飲多尿
d  腹囲膨満
e  痙攣発作
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
17",4
問52,犬の肺水腫に関する記述として適切でないのはどれか。,"１．心原性肺水腫は肺毛細血管圧の上昇により生じる。
２．非心原性肺水腫では肺門付近においてより重度の水腫を生じる。
３．Ｘ線像では初期には間質パターンを呈する。
４．血清アルブミン濃度の重度低下は原因の一つとなりうる。
５．急性呼吸窮迫症候群（ARDS）に移行すると予後は悪い。",2
問53,犬の乾性角結膜炎の原因として適当でないのはどれか。,"１．涙腺の低形成
２．顔面神経麻痺
３．ピロカルピンの点眼
４．スルファメトキサゾール・トリメトプリムの投与
５．瞬膜腺の切除",3
問54,牛の第一胃アシドーシスで併発に注意すべき疾患はどれか。,"a  大脳皮質壊死症
b  心筋症
c  脂肪壊死症
d  嚢胞腎
e  蹄葉炎
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
18",2
問55,肝膿瘍の併発に注意すべき牛の疾患はどれか。,"a  第一胃鼓脹症
b  第一胃食滞
c  第一胃錯角化症（第一胃パラケラトーシス）
d  臍静脈炎
e  第四胃左方変位
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問56,牛乳頭腫に関する記述として適当なのはどれか。,"a  牛ヘルペスウイルス 2 型の感染が原因である。
b  垂直感染する。
c  高齢牛に発生が多い。
d  病変は乳頭のほか、包皮や趾間皮膚に形成されることがある。
e  無処置でも退縮することがある。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5
問57,牛の銅欠乏症の症状として適当なものはどれか。,"a  盲目
b  慢性下痢
c  被毛退色
d  赤色尿
e  後躯麻痺
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
19",3
問58,胸部 X 線像において肺野陰影の X 線透過性が亢進する疾患・病態はどれか。,"１．肺気腫
２．誤嚥性肺炎
３．肺水腫
４．転移性肺腫瘍
５．細菌性肺炎",1
問59,猫の喘息で見られることの多い胸部Ｘ線像の所見はどれか。,"a  気管支パターン
b  樽型の胸郭
c  肺のエアーブロンコグラム
d  気管の背側への変位
e  心陰影の背側変位
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1
問60,犬の離断性骨軟骨症に関する記述として適当でないのはどれか。,"１．大型犬での発生が多い。
２．若齢での発生が多い。
３．軟骨内骨化の障害が認められる。
４．手根関節で発生することが多い。
５．進行すると変形性関節症が生じる。
20",4
問61,雄猫で内科治療に反応しない尿道閉塞に対して行われる最も一般的な手術法はどれか。,"１．尿道切開術
２．尿道部分切除術
３．チューブ膀胱造瘻術
４．恥骨前尿道造瘻術
５．会陰尿道造瘻術",5
問62,卵巣子宮摘出術を行う際に切断が必要な部位として適切でないのはどれか。,"１．卵巣提索
２．卵管
３．子宮体
４．卵巣動静脈
５．子宮広間膜",2
問63,犬の前十字靭帯断裂に続発することが最も多い損傷はどれか。,"１．側副靭帯断裂
２．後十字靭帯断裂
３．膝蓋骨損傷
４．半月板損傷
５．長趾伸筋腱断裂
21",4
問64,犬のハンセン I 型椎間板へルニアに関する記述として適切なのはどれか。,"a  ハンセン II 型に比べ高齢犬での発生が多い。
b  軟骨異栄養性犬種で発生が多い。
c  急性に発症することが多い。
d  主な原因は外傷である。
e  椎間板の線維輪が膨隆して脊髄を圧迫する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問65,股関節の頭背側脱臼を触診で診断する際に大転子との位置関係を確認する部位はどれか。,"a  腸骨稜
b  恥骨結合
c  閉鎖孔
d  仙腸関節
e  坐骨結節
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問66,椎間板脊椎炎に関する記述として適切でないのはどれか。,"１．細菌や真菌の感染が原因である。
２．痛みを伴うことが多い。
３．発症初期には単純Ｘ線検査で病変を確認できないことが多い。
４．尿路感染症に続発することがある。
５．頚椎での発生が最も多い。
22",5
問67,犬の喉頭麻痺に関する記述として適当でないのはどれか。,"１．大型犬で発生が多い。
２．披裂軟骨の強度が低下し内側変位することによって生じる。
３．通常片側性では明らかな徴候は認められない。
４．続発性の誤嚥性肺炎に注意が必要である。
５．披裂軟骨側方化術の予後は比較的良好である。",2
問68,手術中に洞性頻脈が生じた場合、まず考慮すべき原因として適切でないどれか。,"のは
１．急激な大量出血
２．鎮痛不足
３．迷走神経過緊張
４．高炭酸ガス血症
５．低酸素症",3
問69,馬において蹄壁が蹄骨と離解する疾患はどれか。,"１．蹄葉炎
２．裂蹄
３．蟻洞
４．白帯裂（白線裂）
５．挫跖
23",1
問70,牛の趾皮膚炎に関する記述として適当なのはどれか。,"a  壊死桿菌が原因である。
b  タイストールで多発する。
c  蹄球部の蹄角質に隣接する皮膚に発生する。
d  テトラサイクリンやリンコマイシンへの反応が良好である。
e  蹄底へのブロック装着が有効である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問71,雄牛における無精子症の主な原因はどれか。,"a  精管の閉鎖または狭窄
b  副生殖腺の炎症
c  尿道炎
d  栄養不良
e  精巣の欠如
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問72,牛の子宮粘液症に関する記述として適当なのはどれか。,"a  子宮内感染が原因である。
b  子宮壁が肥厚する。
c  黄体遺残を併発することが多い。
d  妊娠との鑑別には超音波検査が有効である。
e  治療には GnRH が有効である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
24",4
問73,牛のフリーマーチンに関する記述として適切でないのはどれか。,"１．異性多胎の雌の約 9 割にみられる。
２．異性胎子間の血液交流が発生に関与する。
３．性染色体キメラを示す。
４．卵巣の精巣化がみられる。
５．腟前庭の発達が極めて悪い。",5
問74,牛の卵巣静止に関する記述として適切なのはどれか。,"a  エネルギー過剰が原因である。
b  LH の拍動性分泌不足がみられる。
c  無発情となる。
d  治療には PGF2αを投与する。
e  黄体が持続する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問75,実験動物とその特徴の組合せとして正しいのはどれか。,"実験動物　　　　　　　　 特徴
a  ラット ―――――――― 完全性周期
b  シリアンハムスター ―― 単発情
c  スンクス ――――――― キャラバン行動
d  モルモット ―――――― 抗生物質に高感受性
e  スナネズミ ―――――― 心筋梗塞モデル
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
25",4
問76,実験動物の感染症と原因ウイルス科に関する正しい組合せはどれか。,"感染症　　　　　　　　 原因ウイルス科
１．センダイウイルス感染症 ――― レトロウイルス科
２．マウス肝炎ウイルス感染症 ―― レオウイルス科
３．エクトロメリア ――――――― ポックスウイルス科
４．リンパ球性脈絡髄膜炎 ―――― パラミクソウイルス科
５．唾液腺涙腺炎 ―――――――― フラビウイルス科",3
問77,鰓に寄生する寄生虫が起こす疾患はどれか。,"a  アルグルス症
b  ダクチロギルス症
c  ビバギナ症
d  ヘテロスポリス症
e  ベネデニア症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問78,運動性のあるグラム陰性長桿菌が原因となる疾患はどれか。,"１．細菌性腎臓病
２．ノカルジア症
３．カラムナリス病
４．レンサ球菌症
５．抗酸菌症
26",3
問79,繊毛虫による魚類の疾患はどれか。,"１．イクチオホヌス症
２．ヘテロボツリウム症
３．ギロダクチルス症
４．イカリムシ症
５．トリコジナ症",5
問80,DNA ウイルスを原因とする魚類の疾患はどれか。,"a  ウイルス性出血性敗血症
b  伝染性造血器壊死症
c  コイヘルペスウイルス病
d  マダイイリドウイルス病
e  ウイルス性神経壊死症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
27",4
