no,question,answer_choices,answer
問18,ロデシア眼虫（Thelazia rhodesi）についての記述として正しいのはどれか。,"１．中間宿主はメマトイである。
２．主に犬に感染する。
３．涙液中に被鞘幼虫を産出する。
４．アフリカ大陸のみに分布する。
５．成虫の寿命は約 16 か月である。
6",3
問19,疾患の予防活動における 1 次的予防はどれか。,"a  予防接種
b  人間ドック
c  早期がんの治療
d  リハビリテーション
e  社会環境の整備
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問20,生食用食肉の規格基準に関する記述として正しいのはどれか。,"１．生食用として販売される豚の食肉が対象である。
２．凍結処理した肉塊を加工に用いる。
３．放射線照射によって殺菌する。
４．腸内細菌科菌群が陰性と定められている。
５．表示基準は「食品安全基本法」により規定されている。",4
問21,現在我が国において生乳の殺菌条件の指標となっている病原細菌はどれか。,"１．Listeria monocytogenes
２．Brucella abortus
３．Staphylococcus aureus
４．Mycobacterium bovis
５．Coxiella burnetii
7",5
問22,食品の腐敗防止に関する記述として適切なのはどれか。,"１．塩漬（塩蔵）では食品中の自由水を減らすことで微生物の増殖を抑制する。
２．冷蔵（10℃以下）において全ての微生物の増殖が抑制される。
３．食品の pH を下げると加熱殺菌効果が弱まる。
４．紫外線照射により食品内部の殺菌が可能である。
５．食品包装内を真空にすることによって通性嫌気性菌の増殖を抑制する。",1
問23,ブドウ球菌食中毒あるいはその原因菌に関する記述として適切なのはどれか。,"１．発育至適温度は 42〜46℃である。
２．原因菌が産生する毒素に汚染された食品の喫食によって発症する。
３．好塩菌である。
４．水分活性値が 0.90 の環境下では増殖できない。
５．摂食後 2 〜 3日で発症する。",2
問24,「カルタヘナ議定書」に関する記述として正しいのはどれか。,"１．遺伝子組換え生物の国境を越える移動による悪影響を防止する。
２．国内における外来生物の飼養を規制する。
３．遺伝資源の利用から生ずる利益を国際的に公平に配分する。
４．国際的に重要な湿地の保全を促す。
５．絶滅の恐れがある野生動植物の国際取引を規制する。
8",1
問25,有害廃棄物の越境に関する事件はどれか。,"a  ドノラ渓谷事件
b  ミューズ渓谷事件
c  ココ事件
d  セベソ事件
e  ポザリカ事件
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問26,大気汚染物質の一次汚染物質でないのはどれか。,"１．二酸化硫黄
２．一酸化炭素
３．オゾン
４．粉じん
５．ベンゼン",3
問27,食品添加物として用いられる亜硝酸ナトリウムに関する記述として誤っているのはどれか。,"１．我が国では指定添加物である。
２．我が国では生鮮食肉に対して使用できる。
３．我が国では発色剤として使用できる。
４．ボツリヌス菌の発育を抑制する効果がある。
５．食品中のミオグロビンをニトロソミオグロビンにする。
9",2
問28,ポリ塩化ビフェニル（PCB）が原因となって発生したヒトあるいは動物の健康被害はどれか。,"a  ATA 症
b  七面鳥 X 病
c  カネミ油症
d  鶏のダークオイル事件
e  猫踊り病
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問29,ニパウイルス感染症に関する記述として適切なのはどれか。,"１．主な感染経路は空気感染である。
２．馬がヒトに対する主な感染源動物である。
３．南アジアで断続的に流行している。
４．病原体は重篤な出血熱を引き起こす。
５．ワクチンが実用化されている。",3
問30,エボラ出血熱あるいはその病原体に関する記述として適切なのはどれか。,"１．原因ウイルスはアレナウイルス科に属する。
２．ヒトの感染例はアフリカに限局している。
３．我が国では高度安全研究施設で BSL4 の病原体として扱われる。
４．レストン型エボラウイルスはヒトに感染すると高い致死率を示す。
５．レゼルボアはマストミス（ヤワゲネズミ）である。
10",3
問31,パスツレラ症あるいはその病原体に関する記述として適切なのはどれか。,"a  ヒトでは波状熱が特徴的症状である。
b  動物の間ではノミによる媒介が多い。
c  菌分離にはベアード・パーカー寒天培地が用いられる。
d  ヒトでは保菌動物からの創傷感染が多い。
e  動物の口腔内に常在する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5
問32,クリプトコックス症あるいはその病原体に関する記述として適切なのはどれか。,"１．ハトの糞便は重要な感染源である。
２．我が国では輸入真菌症のみが発生している。
３．ヒトでの診断にはウッド灯検査が用いられる。
４．ヒトへの主な感染経路は創傷感染である。
５．サブローブドウ糖寒天培地で菌糸状に増殖する。",1
問33,ブルセラ症あるいはその病原体に関する記述として適切なのはどれか。,"１．我が国における家畜のブルセラ症は増加している。
２．発酵不十分なサイレージが動物への感染源として重要である。
３．汚染された乳製品がヒトへの感染源になることがある。
４．ヒトでは流産が認められない。
５．偏性細胞内寄生細菌である。
11",3
問34,「水質汚濁防止法」に関する記述として正しいのはどれか。,"１．畜産農業の施設は規模の大きさに関わらず全て規制対象となる。
２．排水基準の細菌学的項目として一般細菌がある。
３．特定施設から河川に排出する場合は規制対象とならない。
４．排水からリンが検出されてはならない。
５．BOD が排水の有機物質による汚染の指標として用いられる。",5
問35,前向きコホート研究に関する記述として正しいのはどれか。,"１．横断研究よりも調査期間が短い。
２．症例対照研究よりも費用がかからない。
３．あらかじめ曝露群および非曝露群を設定する必要がない。
４．発生頻度が低い疾患でも少数のサンプルで実施できる。
５．因子への曝露によって起こる疾患発生と因子の関連の強さがわかる。",5
問36,鶏のジゼロシン中毒と関連のある配合飼料の原材料はどれか。,"１．魚粉
２．トウモロコシ
３．米ぬか
４．大豆油かす
５．動物性油脂
12",1
問37,みつばちの衛生管理として正しいのはどれか。,"１．都道府県を越えた移出には都道府県知事の許可が必要である。
２．海外からの輸入で検疫対象になっていない。
３．腐蛆病の発生時には薬剤により殺処分する。
４．我が国で抗菌薬の予防的投与は禁止されている。
５．ノゼマ病は OIE のリスト疾病として国際的な監視対象になっている。",1
問38,消毒液の殺菌効果判定における基準薬剤はどれか。,"１．グルタルアルデヒド
２．次亜塩素酸ナトリウム
３．イソプロパノール
４．フェノール
５．塩化ベンザルコニウム",4
問39,採卵鶏で換羽誘導を行う目的はどれか。,"１．産卵率の回復
２．カニバリズムの防止
３．熱中症の予防
４．感染症の予防
５．性成熟の調整
13",1
問40,疾患による経済的損失のうち直接的損失に含まれないのはどれか。,"１．動物の死亡
２．動物の生産性低下
３．動物の繁殖成績の低下
４．動物の治療費
５．生産物の質的低下",4
問41,ネフローゼ症候群の病態として適当でないのはどれか。,"１．タンパク尿
２．浮腫
３．高コレステロール血症
４．低アルブミン血症
５．高血糖",5
問42,犬の糸球体腎炎の原因疾患として適当でないのはどれか。,"１．副腎皮質機能低下症
２．全身性エリテマトーデス
３．犬糸状虫症
４．子宮蓄膿症
５．膵炎
14",1
問43,高カリウム血症の急性期治療に用いる薬剤として適当でないのはどれか。,"１．インスリン
２．重炭酸ナトリウム
３．スピロノラクトン
４．グルコン酸カルシウム
５．グルコース",3
問44,犬の壊死性髄膜脳炎に関する記述として適切でないのはどれか。,"１．パグに好発する。
２．若齢犬で発生が多い。
３．脳脊髄液中にアストロサイトに対する自己抗体が高率に検出される。
４．治療にはグルココルチコイドが用いられる。
５．肉芽腫性病変を形成する。",5
問45,犬のリンパ球プラズマ細胞性腸炎の治療に用いる薬剤として適切なのはどれか。,"a  ビンクリスチン
b  プレドニゾロン
c  クロラムブシル
d  トリロスタン
e  ゾニサミド
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
15",3
問46,犬の特発性腸リンパ管拡張症に対する療法食として適切なのはどれか。,"１．低脂肪食
２．低タンパク食
３．低炭水化物食
４．高繊維食
５．低アレルギー食",1
問47,胆囊粘液囊腫に関する記述として適当でないのはどれか。,"１．主に犬で認められる疾患である。
２．副腎皮質機能亢進症との関連が示唆されている。
３．診断には超音波検査が最も有用である。
４．細菌感染により生じ、通常抗菌薬の投与により治癒する。
５．外科的治療法として胆囊摘出術が行われる。",4
問48,犬の甲状腺機能低下症に関する記述として適切なのはどれか。,"a  活動性の低下は主な臨床徴候の 1 つである。
b  皮膚が菲薄化していることが多い。
c  低コレステロール血症を伴うことが多い。
d  原発性の場合は血中 TSH 濃度が低下する。
e  通常レボチロキシンナトリウムの生涯にわたる投薬が必要である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
16",2
問49,犬の赤血球増加症の鑑別に用いる検査として適当でないのはどれか。,"１．血中エリスロポエチン濃度の測定
２．血中エストロジェン濃度の測定
３．血液ガス分析
４．腎臓の超音波検査
５．骨髄検査",2
問50,犬の変性性脊髄症に関する記述として適切なのはどれか。,"１．若齢で発症することが多い。
２．重度の疼痛を伴う。
３．慢性の進行性疾患である。
４．脳脊髄液の検査により診断可能である。
５．コルチコステロイドの投与が有効である。",3
問51,犬の外傷性眼球脱出に関する記述として適切でないのはどれか。,"１．短頭種で生じやすい。
２．時間の経過とともに結膜浮腫が重度になる。
３．緊急性が高いため無麻酔で強く押し込む。
４．視神経が障害されることがある。
５．外眼筋が断裂することがある。
17",3
問52,犬の進行性網膜萎縮に関する記述として適切でないのはどれか。,"１．遺伝性疾患である。
２．突然失明することが多い。
３．診断には網膜電図検査が有用である。
４．病後期に白内障を発症する。
５．有効な治療法はない。",2
問53,猫のシュウ酸カルシウム尿石に関する記述として適切なのはどれか。,"１．門脈体循環シャントの症例で特異的に認められる。
２． X 線検査では検出できない。
３．アルカリ尿で形成されやすい。
４．尿管閉塞の原因となりやすい。
５．食事療法で溶解できる。",4
問54,離乳から肥育期の豚に見られる問題行動はどれか。,"１．咬癖
２．さく癖
３．カニバリズム
４．尾かじり
５．つつき行動
18",4
問55,豚で欠乏によりマルベリー心臓病の原因となるのはどれか。,"a  セレン
b  ビタミン E
c  ビタミン B1
d  コバルト
e  亜鉛
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1
問56,炭水化物過食が原因となる馬の運動器疾患はどれか。,"１．白線裂
２．蹄叉腐爛
３．挫跖
４．屈腱炎
５．蹄葉炎",5
問57,肥育豚の胃潰瘍の治療又は予防対策として適切なのはどれか。,"a  サルファ剤の飼料添加
b  飼料粒度の適正化
c  ポリアクリル酸ナトリウムの飼料添加
d  コルチコステロイドの投与
e  抗プラスミン薬の投与
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
19",3
問58,X 線検査で腹腔内に遊離ガスが認められた場合にまず疑うべき疾患はどれか。,"１．胆囊粘液囊腫
２．壊死性膵炎
３．腎盂腎炎
４．膀胱炎
５．消化管穿孔",5
問59,急性膵炎で認められる特徴的な超音波像として適当でないのはどれか。,"１．膵臓の腫大
２．膵臓周囲の低エコー源性
３．膵臓の低エコー源性
４．十二指腸のコルゲートサイン
５．膵管の拡張",2
問60,犬の馬尾症候群に関する記述として適切でないのはどれか。,"１．大型犬での発症が多い。
２．通常は膝蓋腱反射が著しく低下する。
３．変性性腰仙椎狭窄症は主要な原因の１つである。
４．進行すると排尿機能不全を呈することがある。
５．外科的治療として背側椎弓切除術が適応となる。
20",2
問61,犬の膝蓋骨内方脱臼に対する外科的治療法として適切なのはどれか。,"a  大腿骨頭骨頸切除術
b  外側半月切除術
c  大腿骨滑車溝形成術
d  脛骨粗面転移術
e  腓骨頭転移術
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問62,猫の重度歯肉口内炎で適応となる外科的治療法はどれか。,"１．全臼歯抜歯
２．口唇形成術
３．吻側下顎骨切除
４．下顎腺・舌下腺切除
５．扁桃切除",1
問63,特発性乳び胸に対する外科的治療法として適切でないのはどれか。,"１．胸管結紮
２．胸腺切除
３．心膜切除
４．乳び槽破壊
５．胸腔ドレーンの設置
21",2
問64,犬の喉頭虚脱に関する記述として適切でないのはどれか。,"１．通常上部気道疾患に継発する。
２．吸気時の陰圧増加が病態を進行させる。
３．反回神経麻痺が主な原因である。
４．ステージ 1 で認められる変化は喉頭小囊の外反（反転）である。
５．進行例では永久気管瘻が適応となる。",3
問65,犬の潜在精巣に関する記述として適切なのはどれか。,"a  腫瘍化する可能性が高い。
b  大部分の症例で雌性化が認められる。
c  出生直後に精巣下降が認められなければ潜在精巣と判断する。
d  診断には直腸検査が有効である。
e  片側性の場合にも両側の精巣を摘出することが勧められる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問66,犬のレッグペルテス病に関する記述として適切なのはどれか。,"a  大型犬での発生が多い。
b  通常両側性に発生する。
c  遺伝の関与が指摘されている。
d  大腿骨頭に虚血性壊死が生じる。
e  通常保存療法で治癒する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
22",4
問67,肘関節形成不全に含まれる疾患はどれか。,"a  外側側副靱帯断裂
b  先天性肘関節脱臼
c  上腕骨顆の骨化不全
d  肘突起癒合不全
e  内側鉤状突起離断
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5
問68,犬の四肢の骨肉腫に関する記述として適切なのはどれか。,"１．小型犬に好発する。
２．遠隔転移は稀である。
３．大腿骨では遠位に発生することが多い。
４． X 線検査で確定診断を下すことが可能である。
５．断脚手術のみで予後は良好である。",3
問69,Streptococcus 属の細菌によって引き起こされる豚の疾患はどれか。,"a  滲出性表皮炎
b  浮腫病
c  髄膜炎
d  心内膜炎
e  腸腺腫症候群
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
23",4
問70,牛のワラビ中毒で見られる症状はどれか。,"１．光線過敏症
２．痙攣
３．再生性貧血
４．黄疸
５．血尿",5
問71,馬の子宮内膜炎に関する記述として誤っているのはどれか。,"１．繰り返し授精しても受胎しない。
２．潜在性の例が多い。
３．腟検査は黄体期に行うのが望ましい。
４．診断的子宮洗浄では洗浄回収液中の炎症性細胞を確認する必要がある。
５．治療にはヨード剤や抗菌薬の子宮内注入を行う。",3
問72,ホルスタイン種牛の卵胞囊腫に関する記述として適切なのはどれか。,"a  FSH サージの欠如が直接の原因である。
b  血中プロジェステロン濃度は 1 ng/mℓを超える。
c  持続性または頻発性の発情あるいは無発情を示す。
d  卵巣に黄体はなく径 25 mm 以上の囊腫卵胞が存在する状態が 1 週間以上持続
する。
e  治療にはエストラジオールを用いる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
24",4
問73,牛の胎子ミイラ変性に関する記述として適当なのはどれか。,"a  胎子の皮下には過量の液体が存在する。
b  双胎ではどちらの胎子もミイラ化する。
c  直腸検査において硬い胎子を触知できる。
d  PGF2αの投与により排出させる。
e  細菌感染が主な原因である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問74,牛の難産に関する記述として誤っているのはどれか。,"１．早すぎる介助は難産の誘因となる。
２．胎子が生存しており経腟分娩が不可能と診断された場合は帝王切開を行う。
３．骨盤腔狭小による難産は経産牛で多くみられる。
４．双胎の場合、双方が同時に産道に進入することがある。
５．胎子の失位がある場合には整復後に牽引する。",3
問75,実験動物の特徴に関する記述として正しいのはどれか。,"a  ブタは交尾排卵動物である。
b  シリアンハムスターは単発情である。
c  ウサギはアトロピンを含む植物を食べても中毒を起こさない。
d  モルモットは完全性周期を示す。
e  マウスの平均寿命は約 1 年である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
25",4
問76,実験動物用のラットの感染症コントロールとして誤っているのはどれか１．検疫２．ワクチンによる予防３．微生物モニタリング４．感染ラットの隔離５．感染ラットの淘汰,,2
問77,レッドマウス病の原因となる細菌はどれか。,"１．Photobacterium damselae subsp. piscicida
２．Tenacibaculum maritimum
３．Yersinia ruckeri
４．Renibacterium salmoninarum
５．Streptococcus iniae",3
問78,国内でワクチンが実用化されている魚類の疾患はどれか。,"１．コイヘルペスウイルス病
２．伝染性造血器壊死症
３．リンホシスチス症
４．ウイルス性出血性敗血症
５．マダイイリドウイルス病
26",5
問79,筋肉内にシストを形成する魚類の疾患はどれか。,"１．ヘテロスポリス症（ベコ病）
２．カリグス症
３．粘液胞子虫性やせ病
４．鰾線虫症
５．キロドネラ症",1
問80,カラムナリス病に関する記述として適切なのはどれか。,"a  ひれぐされ病とも呼ばれる。
b  原因菌はグラム陽性短桿菌である。
c  水産用ワクチンが承認されている。
d  海水魚に発生する。
e  患部に円柱状の構造物を形成する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
27",2
