no,question,answer_choices,answer
問18,疾患と原因寄生虫の組合せとして正しいのはどれか。,"疾患　　　　　　　　　　　　　　　寄生虫
１．媾疫　　　 ―――― ブルーストリパノソーマ （Trypanosoma brucei）
２．ナガナ病 　―――― クルーズトリパノソーマ（Trypanosoma cruzi）
３．ワヒ病　　 ―――― 指状糸状虫（Setaria digitata）
４．皮膚爬行症 ―――― ドロレス顎口虫（Gnathostoma doloresi）
５．夏創 　　　―――― 頸部糸状虫（Onchocerca cervicalis）
6",4
問19,食肉あるいは食鳥処理における検査に関する記述として正しいのはどれか。,"１．食鳥処理においても「と畜場法」に従って検査を行う。
２．解体時・解体後検査で旋毛虫が認められた場合は全部廃棄措置をとる。
３．検印は枝肉のみに押す。
４．法律で食用に供するイノシシの検査を行う義務がある。
５．現在は 48 か月齢を超える全ての牛を対象として BSE 検査を行っている。",2
問20,猫では主に不顕性感染になる人獣共通感染症はどれか。,"a  ペスト
b  狂犬病
c  猫ひっかき病
d  カプノサイトファーガ症
e  重症熱性血小板減少症候群（SFTS）
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問21,2014 年に我が国でヒトスジシマカの媒介による国内感染が報告された人獣共通感染症はどれか。,"１．チクングニア熱
２．黄熱
３．日本脳炎
４．ジカ熱
５．デング熱
7",5
問22,「乳及び乳製品の成分規格等に関する省令（乳等省令）」および「乳等省令の一部を改正する省令」で定められている牛乳の成分規格として正しいのはどれか。,"a  細菌数は標準平板培養法で 50,000 ／mℓ以下であること
b  大腸菌は陰性であること
c  酸度は乳酸として 3％以下であること
d  全ての抗菌性物質は検出されてはならないこと
e  放射性セシウムは 50 Bq／kg を超えてはならないこと
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問23,「食品衛生法」に基づいて米（精米、玄米）における成分規格が定められている金属はどれか。,"１．カドミウム
２．鉛
３．ヒ素
４．水銀
５．銅",1
問24,食品や水の衛生管理状態を評価するために行われる微生物学的検査と、検査に用いられる培地の組合せとして正しいのはどれか。,"検査項目　　　　　　　　　　　　　 培地
１．一般生菌数　　 ――――――― 普通寒天培地
２．大腸菌群　　　 ――――――― AC 培地
３．糞便系大腸菌群 ――――――― EC 培地
４．従属栄養細菌　 ――――――― BGLB 培地
５．腸内細菌科菌群 ――――――― デソキシコレート寒天培地
8",3
問25,ノロウイルス食中毒あるいはその病原体に関する記述として適切なのはどれか。,"１．ピコルナウイルス科に分類される。
２．培養細胞によるウイルス分離が検査法として用いられる。
３．二枚貝の体内で増殖する。
４．ヒトからヒトへの感染は極めてまれである。
５．次亜塩素酸ナトリウムによる消毒が有効である。",5
問26,水俣病に関する記述として誤っているのはどれか。,"１．原因物質はメチル水銀である。
２．腎臓の尿細管における再吸収機能が障害される。
３．原因物質は胎盤を通過して先天性疾患を引き起こす。
４．阿賀野川流域において同様の公害問題が発生した。
５．原因物質が蓄積した魚介類を摂取することにより発生した。",2
問27,「環境基本法」に基づく土壌の汚染に係る環境基準において検出されないとが規定されているのはどれか。,"こ
a  六価クロム
b  ヒ素
c  アルキル水銀
d  PCB
e  カドミウム
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
9",4
問28,ダイオキシン類に関する記述として誤っているのはどれか。,"１．脂溶性物質である。
２．有機化合物を塩素存在下で 300〜500 ℃の温度で燃焼するときに発生する。
３．「化学物質の審査及び製造等の規制に関する法律（化審法）」の規制の対象外
である。
４．最も毒性が強いのは 2,  3,  7,  8−四塩化ジベンゾ−パラ−ジオキシンである。
５．我が国では食品のうち野菜類からの摂取量が最も多い。",5
問29,「環境基本法」が定める「典型 7 公害」のうち、2013 年以降我が国で苦情件数が最も多いのはどれか。,"１．大気汚染
２．水質汚濁
３．悪臭
４．土壌汚染
５．騒音",5
問30,リーシュマニア症あるいはその病原体に関する記述として適切なのはどれか。,"１．主に赤血球に感染する。
２．ベクターはサシチョウバエである。
３．サハラ砂漠以南のアフリカに限局して発生している。
４．内臓リーシュマニア症は睡眠病と呼ばれる。
５．ワクチンが実用化されている。
10",2
問31,B ウイルス感染症あるいはその病原体に関する記述として適切なのはどれか。,"１．フラビウイルス科に属する。
２．日本での発生はない。
３．ベクターは蚊である。
４．ヒトに重篤な出血熱を引き起こす。
５．自然宿主はサルである。",5
問32,豚丹毒あるいはその病原体に関する記述として誤っているのはどれか。,"１．ヒトでは汚染食品の摂取により経口感染することが多い。
２．グラム陽性小桿菌である。
３．ヒトの疾患は類丹毒と呼ぶ。
４．畜舎周囲の土壌や汚水から分離される。
５．外見上健康な豚の扁桃から分離されることがある。",1
問33,症例対照研究に関する記述として適切なのはどれか。,"１．ある因子に対する曝露群と非曝露群を一定期間追跡する。
２．疾患発生と因子の関連性を評価するために相対リスクを用いる。
３．後ろ向き研究である。
４．曝露頻度の低い疾患の調査に向いている。
５．疾患発生との関連性を検討したい因子は 1 つしか設定できない。
11",3
問34,PM2.5 に関する記述として適切なのはどれか。,"１．ガス状物質である。
２．ザルツマン法により大気中の濃度を測定する。
３．鉱物由来の無機繊維である。
４．疫学調査により呼吸器系疾患への関与が指摘されている。
５．有害大気汚染物質の優先取組物質に含まれる。",4
問35,疾患のスクリーニング検査に関する記述として適当でないのはどれか。,"１．簡便で安価な検査法を用いる。
２．組織的に実施する。
３．病原体の分離培養が検査法として多用されている。
４．早期摘発を目的に実施する。
５．見かけ上健康な個体の集団から罹患の可能性が高い個体をふるい分ける。",3
問36,「悪臭防止法」に定められている糞尿由来の特定悪臭物質はどれか。,"a  アセトアルデヒド
b  メチルメルカプタン
c  硫化メチル
d  イソブタノール
e  キシレン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
12",3
問37,雌雄ともに吸血するのはどれか。,"１．アブ
２．ヌカカ
３．ブユ
４．サシバエ
５．カ",4
問38,乳牛のボディコンディションスコア（BCS）に関する記述として最も適切なのはどれか。,"１．乾乳期は BCS を 4.0 以上にするのがよい。
２．BCS と泌乳ステージからコンディションの適正を評価する。
３．BCS が高いときは栄養が不足していると判断する。
４．BCS は体脂肪の消費程度を示す。
５．BCS が 3.5 では腰角、股関節、坐骨の 3 点が V 字型を示す。",2
問39,鶏のビタミン A 欠乏によって起こる疾患として最も適当なのはどれか。,"１．尿酸塩沈着症
２．脊椎すべり症
３．栄養性筋症
４．骨粗鬆症
５．脂肪肝出血症候群
13",1
問40,法令に基づき輸入時の検疫対象となる動物と繋留期間の組合せとして正しいのはどれか。,"動物　　　　　 　繋留期間
１．馬　 ―――――― 14 日間
２．牛　 ―――――― 15 日間
３．豚　 ―――――― 10 日間
４．サル ―――――― 21 日間
５．鶏　 ――――――  7 日間",2
問41,犬の免疫介在性血小板減少症に関する記述として正しいのはどれか。,"a  臨床症状として皮下に点状出血を呈する。
b  ビタミン K の欠乏によって生じる。
c  原発性免疫介在性血小板減少症の死亡率は約 80％である。
d  APTT が延長する。
e  初期治療は主にグルココルチコイドの投与である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問42,猫の糖尿病に関する記述として正しいのはどれか。,"１．雌で好発する。
２．若齢で発症が多い。
３．血清フルクトサミン濃度が低値を示す。
４．低炭水化物食の給与が推奨される。
５．中間型インスリンが治療の第一選択である。
14",4
問43,猫の低コバラミン血症の原因として適切なのはどれか。,"１．巨大食道症
２．胆石症
３．慢性肝炎
４．膵外分泌不全
５．直腸腺癌",4
問44,若齢犬の口腔内や皮膚にカリフラワー様の腫瘤性病変や疣贅を形成するウイルスの科はどれか。,"１．パピローマウイルス科
２．ヘルペスウイルス科
３．カリシウイルス科
４．コロナウイルス科
５．アデノウイルス科",1
問45,犬のファンコーニ症候群でみられる徴候として誤っているのはどれか。,"１．多飲多尿
２．高カリウム血症
３．タンパク尿
４．尿糖
５．代謝性アシドーシス
15",2
問46,犬と猫の疾患時の栄養管理に関する記述として適切でないのはどれか。,"１．食欲不振時は経静脈栄養が治療の第一選択である。
２．栄養要求量は安静時エネルギー要求量をもとに算出する。
３．絶食は絨毛の萎縮や消化管吸収障害をもたらす。
４．慢性的な栄養失調状態の猫では肝リピドーシスを生じる。
５．犬の慢性膵炎では低脂肪食の給与が望ましい。",1
問47,犬の精巣腫瘍に関する記述として正しいのはどれか。,"１．セルトリ細胞腫の一部の例では汎血球減少症が生じる。
２．セルトリ細胞腫は高プロジェステロン血症を起こす。
３．潜在精巣の犬にはライディッヒ細胞腫が多発する。
４．ライディッヒ細胞腫は雌性化徴候を起こす。
５．精上皮腫の多くは悪性腫瘍である。",1
問48,門脈高血圧を生じる疾患・病態として適切でないのはどれか。,"１．肝硬変
２．動脈門脈瘻
３．先天性門脈体循環シャント
４．門脈低形成
５．門脈血栓
16",3
問49,犬の副腎皮質機能亢進症における血液検査所見として誤っているのはどれか。,"１．ALP の上昇
２．ALT の上昇
３．総コレステロールの上昇
４．血糖値の低下
５．尿素窒素の低下",4
問50,短頭種気道症候群に関する記述として誤っているのはどれか。,"１．呼気性の呼吸困難である。
２．非心原性肺水腫を合併することがある。
３．症状は外気温が高いと悪化する。
４．喉頭の浮腫に対しコルチコステロイドを投与する。
５．嘔吐などの消化器症状を併発することが多い。",1
問51,犬の脳炎に関する記述として正しいのはどれか。,"１．壊死性髄膜脳炎はジステンパーウイルスの感染が関与する。
２．壊死性髄膜脳炎には播種型、巣状型、眼型がある。
３．壊死性髄膜脳炎はパグに好発する。
４．肉芽腫性髄膜脳炎は MRI 検査で確定診断できる。
５．肉芽腫性髄膜脳炎では脳脊髄液中に抗アストロサイト抗体が高率に検出される。
17",3
問52,犬と猫の重症筋無力症を診断するための検査項目はどれか。,"１．クームス試験
２．抗アセチルコリン受容体抗体
３．抗核抗体
４．抗サイログロブリン抗体
５．ベンスジョーンズ蛋白",2
問53,猫の肝リピドーシスで一般的にみられる所見はどれか。,"１．急激な体重増加
２．血清クレアチニンの上昇
３．X 線検査における小肝症
４．超音波検査における肝実質のエコーレベルの上昇
５．肝臓の細胞診におけるリンパ球形質細胞の浸潤",4
問54,ストルバイト結石による牛の尿石症の治療薬はどれか。,"１．硫酸マグネシウム
２．炭酸水素ナトリウム
３．塩酸メトクロプラミド
４．塩化アンモニウム
５．塩酸クレンブテロール
18",4
問55,牛のサルモネラ症あるいはその原因菌に関する記述として適切なのはどれか。,"a  病原菌は通性嫌気性グラム陰性桿菌である。
b  経口感染により伝播する。
c  成牛では主に肺炎を起こす。
d  治療は行わず殺処分される。
e  分娩前にカルシウム剤を経口投与することが予防となる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1
問56,牛の急性ワラビ中毒の主症状はどれか。,"１．光線過敏症
２．強直性けいれん
３．流涎
４．出血傾向
５．被毛褪色",4
問57,牛の第四胃変位に関する記述として適切でないのはどれか。,"１．第四胃運動の減退と第四胃内ガスの貯留を伴う。
２．左方変位では第四胃が第三胃と左腹壁の間に変位する。
３．右方変位では第四胃が腸管と右腹壁の間に変位する。
４．右方変位から第四胃捻転に進行することがある。
５．左方変位では牛体回転整復法が治療の選択肢となる。
19",2
問58,犬の胸部 X 線背腹像で、心陰影が 1〜2 時方向に拡大する疾患はどれか。,"a  大動脈弁狭窄
b  動脈管開存症
c  犬糸状虫症
d  右大動脈弓遺残
e  僧帽弁閉鎖不全症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問59,腹部 X 線撮影で、臓器のコントラストが上昇する疾患・病態はどれか。,"１．がん性腹膜炎
２．子宮蓄膿症
３．肥満
４．膵炎
５．膀胱破裂",3
問60,犬の肛門周囲腫瘍に関する記述として最も適切なのはどれか。,"１．避妊雌には肛門周囲腺腫は発生しない。
２．肛門周囲腺腫の細胞診では肝細胞様の細胞が観察される。
３．肛門周囲腺癌は肛門周囲腺腫より発生が多い。
４．肛門嚢アポクリン腺癌は低カルシウム血症を惹起することがある。
５．肛門嚢アポクリン腺癌はほとんどの症例で肺転移が生じる。
20",2
問61,犬の乳腺腫瘍に関する記述として最も適切なのはどれか。,"１．体壁の筋肉にしばしば浸潤する。
２．頭側の乳腺に多発し、尾側ではまれである。
３．初回発情前の避妊手術によって発生率が低下する。
４．乳腺の両側全摘出が治療の第一選択である。
５．腫瘍の大きさは予後に関連しない。",3
問62,犬の食道内異物に関する記述として最も適切なのはどれか。,"１．大型犬で発生が多い。
２．ほとんどは無徴候である。
３．胸部食道の遠位で多く認められる。
４．診断後速やかに食道切開で摘出する。
５．術後の合併症として巨大食道症が生じる。",3
問63,犬の離断性骨軟骨症に関する記述として最も適切なのはどれか。,"１．高齢で発生が多い。
２．手根関節で発生が多い。
３．軟骨内骨化の障害が認められる。
４．単純 X 線検査では診断できない。
５．手術による関節固定が治療の第一選択である。
21",3
問64,犬の前十字靱帯断裂において二次的に損傷しやすい組織はどれか。,"１．内側半月
２．外側半月
３．膝蓋骨
４．外側側副靱帯
５．膝蓋靱帯",1
問65,犬の尾側頸椎脊髄症（ウォブラー症候群）の記述として適当でないのはどれか。,"１．ドーベルマンで発生が多い。
２．腹側減圧術や椎体固定術が行われる。
３．前肢の歩幅の短縮を呈することがある。
４．診断には MRI 検査が有用である。
５．主な原因はハンセンⅠ型椎間板ヘルニアである。",5
問66,犬の汎骨炎に関する記述として適切でないのはどれか。,"１．若齢の大型犬で発生が多い。
２．移動性の四肢跛行を呈する。
３．高尿酸血症が原因である。
４．単純 X 線検査により診断する。
５．自然治癒することが多い。
22",3
問67,犬と猫の下顎骨折に適切でない骨折固定法はどれか。,"１．髄内ピン法
２．歯間ワイヤー法
３．骨片間ワイヤー法
４．創外固定法
５．プレート法",1
問68,犬の総踵骨腱（アキレス腱）断裂に関する記述として最も適切なのはどれか。,"１．両側性の断裂は若齢の小型犬に多い。
２．完全断裂では足根部が過屈曲して沈下する。
３．完全断裂と部分断裂を鑑別するために X 線検査を実施する。
４．断裂した腱はレンベルト縫合法により整復する。
５．術後できるだけ早期に運動を再開させる。",2
問69,牛の脂肪壊死症に関する記述として適切でないのはどれか。,"１．腹腔内の脂肪組織が壊死硬化して限局性の集塊を形成する。
２．好発部位は主に空腸周囲の脂肪組織である。
３．腸管の通過障害を呈する。
４．根本的な治療法はない。
５．濃厚飼料の過給を避けることが予防になる。
23",2
問70,牛肺虫症に関する記述として適切でないのはどれか。,"１．放牧地にて経口的に牛に感染する。
２．主な徴候は発咳である。
３．末梢血好酸球の増加がみられる。
４．浮遊法による糞便からの虫卵検出で診断する。
５．イベルメクチン製剤が治療に有効である。",4
問71,牛の尿腟に関する記述として誤っているのはどれか。,"１．子宮間膜や腟壁と周囲組織の弛緩による子宮・腟の下垂により生じる。
２．栄養過多の老齢牛に多い。
３．排泄された尿が腟深部に逆流して貯留する。
４．尿の貯留が長期におよぶと子宮頸管炎や子宮内膜炎を続発する。
５．腟洗浄後に交配することによって受胎する可能性がある。",2
問72,牛の分娩誘起に有効でないのはどれか。,"１．PGF2α
２．プロジェステロン
３．エストラジオール
４．デキサメサゾン
５．フルメサゾン
24","2,3"
問73,牛の産褥性子宮炎に関する記述として適切なのはどれか。,"１．分娩時および産褥期の子宮へのウイルス感染が直接的な原因である。
２．無色透明な粘液の排出がみられる。
３．食欲停止、体温上昇、頻脈などが認められる。
４．確定診断には超音波診断装置が必要である。
５．プロジェステロン製剤で治療する。",3
問74,夏季不妊症に関する記述として適切でないのはどれか。,"１．夏季に雄の精液性状が不良となり、受胎率が低下する現象である。
２．牛、めん羊、豚に発生がみられる。
３．栄養摂取量の減少や飼料消化率の低下などが誘因となる。
４．血中オキシトシン濃度の測定で確定診断できる。
５．治療と予防には畜舎の換気や全身への散水などが考えられる。",4
問75,疾患モデルと実験動物の組合せとして正しいのはどれか。,"疾患モデル　  　　　　　　   実験動物
１．糖尿病モデル　　　 ――――― NC マウス
２．高脂血症モデル　　 ――――― SCID マウス
３．腎疾患モデル　　　 ――――― BB マウス
４．がん組織移植モデル ――――― NOD マウス
５．高血圧モデル 　　　――――― SHR ラット
25",5
問76,実験動物の特徴に関する記述として正しいのはどれか。,"１．ウサギは嘔吐抑制薬の開発に用いられる。
２．フェレットは胆囊を欠く。
３．ブタの腎臓の尿濃縮能は低い。
４．モルモットの未受精卵は他の哺乳類の精子を受け入れる。
５．シリアンハムスターは脳梗塞誘発モデルになる。",3
問77,RNA ウイルスが原因である魚類の疾患はどれか。,"１．コイの上皮腫
２．ヘルペスウイルス病（OMVD）
３．ウイルス性腹水症
４．リンホシスチス病
５．マダイイリドウイルス病",3
問78,海水魚の白点病とその病原体に関する記述として正しいのはどれか。,"１．マダイには塩化リゾチームが経口投与薬として承認されている。
２．Ichthyophthirius multiﬁliis の感染による疾患である。
３．眼球が白濁する。
４．栄養体は馬蹄状の核を有する。
５．筋肉融解を起こす。
26",1
問79,粘液胞子虫による疾患はどれか。,"１．ヘテロボツリウム症
２．ベネデニア症
３．カリグス症
４．アミルージニウム症
５．筋肉クドア症",5
問80,2020 年末までに我が国で発生の報告がない魚類の疾患はどれか。,"１．イクチオホヌス症
２．真菌性肉芽腫症
３．伝染性造血器壊死症
４．コイ春ウイルス血症
５．細菌性冷水病
27",4
